Group.1,Otu002008,Otu010136,Otu012209,Otu022365,Otu022486,Otu022498,Otu028583,Otu049884,Otu050252,Otu050260,Otu073593,Otu073627,Otu085558,Otu158011,Otu159252,Otu239571
1,GAZ:Australia,0,0,0,17,1,2,0,0,0,2,0,0,0,0,0,0
2,GAZ:Commonwealth of Puerto Rico,4,2,4,0,2,0,0,0,0,0,0,0,0,0,0,0
3,GAZ:Mexico,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
4,GAZ:New Zealand,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0
5,GAZ:Panama,0,48,0,0,0,1,0,0,0,2,0,11,0,0,0,1
6,GAZ:Portugal,0,0,0,1,0,2,0,0,0,2,1,0,3,0,5,0
7,GAZ:Saudi Arabia,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8,GAZ:Spain,207,12,4,1,7,199,6,9,87,12,169,14,15,35,113,132
9,GAZ:Sweden,8,0,1,0,1,1,0,0,1,0,7,1,7,4,3,0
10,GAZ:Taiwan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
11,GAZ:Tanzania,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0
12,GAZ:The Bahamas,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
13,GAZ:United States of America,142,0,85,15,18,1,0,0,13,2,2,1,0,0,0,0
